Uf;IBGE;Municipio;CNES;Nome_UBS;INE;Sigla;total_1221
GO;520870;GOIÂNIA;2506777;CENTRO DE SAUDE BENEDITO DOS SANTOS VIEIRA;2033399;eAP;238
GO;522010;SÃO LUÍS DE MONTES BELOS;2550601;UBS BOANERGES SILVA CAIRES SAO LUIS DE MONTES BEL;466530;eAPP;53
GO;521400;MOZARLÂNDIA;3031438;PS PSF I ANTONIO NUNES DA SILVA;1666290;eAPP;138
GO;522170;URUANA;3424022;UBS JAIRO FERREIRA DE CASTRO;1662724;eAPP;12
GO;520590;CORUMBAÍBA;2381613;ESTRATEGIA DE SAUDE DA FAMILIA II;1579037;eAPP;570
GO;521930;SANTA HELENA DE GOIÁS;9335919;CENTRO DE INSERCAO SOCIAL DE SANTA HELENA DE GOIAS;1642146;eAPP;326
GO;520860;GOIANÉSIA;9374558;SAUDE NO SISTEMA PRISIONAL;1666169;eAPP;26
GO;520110;ANÁPOLIS;2371464;USF INTERLANDIA;453951;eSF;2183
GO;520110;ANÁPOLIS;2438364;USF ADRIANA PARQUE;454214;eSF;4257
GO;520870;GOIÂNIA;7381549;CENTRO DE SAUDE CAMPUS SAMAMBAIA;2033402;eAP;839
GO;520870;GOIÂNIA;2339404;CENTRO DE SAUDE CIDADE JARDIM MICHELE MUNIZ DO CARMO;1705512;eAP;2356
GO;521880;RIO VERDE;2589095;CLINICA DA FAMILIA VILA BORGES;2153041;eAP;1337
GO;520110;ANÁPOLIS;2383756;USF MUNIR CALIXTO;454095;eSF;5187
GO;520110;ANÁPOLIS;2383764;USF ALEXANDRINA;454133;eSF;3032
GO;520110;ANÁPOLIS;2438364;USF ADRIANA PARQUE;454222;eSF;2213
GO;520110;ANÁPOLIS;2371472;USF SAO JOSE;454427;eSF;3067
GO;520110;ANÁPOLIS;9745815;USF ARCO IRIS;1680080;eSF;1796
GO;521150;ITUMBIARA;800031;CLINICA POPULAR DR ANTONIO DE PAUDA PEPPE;461741;eSF;4040
GO;521150;ITUMBIARA;533734;CLINICA UNIDADE SAUDE FAMILIA DIONARIA FERREIRA GOMES;1638068;eSF;3893
GO;520545;CEZARINA;9389202;PROGRAMA DE SAUDE DA FAMILIA DE CEZARINA PSF III;1639927;eSF;1241
GO;521310;MINEIROS;7657293;UNIDADE BASICA DE SAUDE ERASMO RODRIGUES DE SOUSA;1643096;eSF;2697
GO;520620;CRISTALINA;7364547;PSF JOAO BAPTISTA RIGOTTI DE GODOY;1495623;eSF;4977
GO;520860;GOIANÉSIA;2441284;POSTO DE SAUDE AVELINO MODESTO ARAUJO GOIANESIA;1655833;eSF;738
GO;521590;PALMINÓPOLIS;7483740;UNIDADE BASICA DE SAUDE ORCINO GONCALVES DE SOUZA;1524763;eSF;1827
GO;520870;GOIÂNIA;2339404;CENTRO DE SAUDE CIDADE JARDIM MICHELE MUNIZ DO CARMO;1705520;eAP;474
GO;520140;APARECIDA DE GOIÂNIA;9595686;UNIDADE BASICA DE SAUDE SANTO ANDRE;1686666;eSF;781
GO;520140;APARECIDA DE GOIÂNIA;9407634;UNIDADE BASICA DE SAUDE BAIRRO CARDOSO;1656295;eSF;2773
GO;520410;CACHOEIRA ALTA;7284845;UBS RENI BOAVENTURA;1550489;eSF;2091
GO;520430;CAÇU;3338843;UBS SEBASTIAO VIEIRA NETO LOLA;456020;eSF;2277
GO;520870;GOIÂNIA;2339277;CENTRO DE SAUDE CONJUNTO RIVIERA;2027283;eAP;1112
